k1, k2, z
13.5, 13.5, 20.5
12, 19, 23
8.5, 8.5, 5
10, 14.5, 18.5
16.5, 14, 10
4.5, 14, 10.5
8, 14.5, 11
13, 13, 17
13, 22, 13
28.5, 29, 38.5
6, 4.5, 6.5
11.5, 11, 16
2, 0, 0
5, 2, 2
7, 0, 0
3, 9.5, 13.5
2, 0, 0
26, 24.5, 31
21, 20.5, 18
3, 0, 0
13.5, 25.5, 18
10.5, 12.5, 11.5
9, 8.5, 7.5
21, 24.5, 21.5
7, 6.5, 0
20, 14.5, 29
6, 8, 6
7.5, 12, 12.5
9, 9.5, 4.5
10, 18, 9.5
20.5, 20.5, 24.5
3, 6, 1.5
4, 4.5, 5.5
12, 15, 14
22, 28, 35
12, 11.5, 6.5
18, 22, 31.5
20, 20.5, 24
15.5, 13.5, 19.5
7, 17, 12
9.5, 17.5, 19.5
24, 26, 34
7, 6.5, 4
14, 22, 21.5
10, 13, 10.5
6, 10, 10.5
9, 10.5, 11.5
7.5, 18, 22.5
10, 22, 19.5
14, 12, 12
13, 12, 17
10, 14.5, 14
3, 0, 0
16.5, 13, 17.5
10, 14.5, 20.5
8.5, 14.5, 15
20, 16.5, 24
15.5, 20, 11
6.5, 10.5, 15.5
7, 7, 15
6.5, 0, 0
6, 6.5, 5.5
12, 9.5, 0
10.5, 16.5, 11.5
7, 22, 15
8, 13, 10
14, 15.5, 21
22, 25, 30
10.5, 6.5, 12
13, 14, 14.5
14, 10, 19
13, 12, 14.5
22, 19.5, 26.5
6, 0, 0
7, 5.5, 9
18.5, 20, 26
12, 8, 18
4.5, 12.5, 15
6.5, 11, 8.5
15, 13, 17
5, 0, 0
6, 0, 0
8, 14, 9
15, 8, 8
10, 9, 9.5
4.5, 2, 1
12.5, 23.5, 21.5
9, 8, 18
13.5, 15.5, 18.5
29, 29, 38
10.5, 17.5, 14.5
11, 21.5, 17
10, 10.5, 17
6, 2, 0
6.5, 12.5, 18
12, 20.5, 25
10, 9.5, 11
27.5, 20, 21.5
15, 14, 0
10, 18, 18
13.5, 6.5, 11.5
6, 11, 18.5
10, 14, 15
3.5, 5, 3.5
9, 16.5, 17.5
7, 14, 15
4, 11.5, 7.5
8, 8.5, 16
14, 19.5, 21
11, 18, 16
10.5, 12.5, 13.5
9.5, 4.5, 0
8, 0, 0
12, 0, 17.5
12, 16, 17.5
12, 14, 10
12, 23, 20.5
15.5, 19.5, 22.5
9, 15, 17
17, 11.5, 26.5
4, 0, 0
8.5, 0, 0
5, 3.5, 0
17, 23, 17
14.5, 16.5, 23
7, 15.5, 8
17.5, 18, 14
11, 12.5, 21.5
19, 10.5, 14
12, 14.5, 9
4.5, 2.5, 0
6, 0.5, 3.5
8, 17, 14.5
16, 17, 23
18, 18, 25.5
6, 13.5, 17
13, 14, 18
6, 2, 7
15, 3.5, 9.5
4.5, 18, 12
5.5, 15.5, 12.5
14, 0, 0
9, 14, 19
6, 4.5, 2.5
16, 14, 15
8, 9, 9.5
2.5, 0, 0
5, 2, 7
9, 0, 0
7, 5, 11
26, 27.5, 38.5
14, 12.5, 7.5
11, 14.5, 10
8, 2.5, 2
6, 5, 0
7, 3.5, 2
7, 21.5, 20
7.5, 14.5, 18
1, 3, 0
14.5, 21, 23
20, 16.5, 0
6, 14.5, 7
29, 26.5, 35.5
10, 10.5, 10.5
9.5, 13, 17.5
7, 8, 9
8.5, 16.5, 10
5, 0, 0
26.5, 25, 35.5
8.5, 3, 0
9, 8.5, 8.5
